1,1001_IEO_NEU_XX,N,69.1,N,92.22,N,64.78
16,1001_IEO_DIS_HI,A,59.5,A:D,68.75:52.25,D,57.17
20,1001_TIE_ANG_XX,A,54.8,A,51.4,A,52
27,1001_IOM_FEA_XX,A,67.2,A,67.8,A,55.5
39,1001_TAI_FEA_XX,A,57.75,F,75.14,F,64.78
80,1001_WSI_ANG_XX,A,51,A,56.17,A,63.3
81,1001_WSI_FEA_XX,A,58.43,F,63.25,F,58
90,1002_IEO_ANG_LO,A,52.14,D,40.25,D,75
91,1002_IEO_ANG_MD,A,58.5,A,51.5,A,52.43
99,1002_TIE_HAP_XX,A,65.38,H,73,H,77.67
101,1002_TIE_ANG_XX,A,76.5,H,74,A,79.22
107,1002_IOM_ANG_XX,A,77.12,A,66,A,69
113,1002_IWW_ANG_XX,A,51.25,A,67.43,A,39.4
131,1002_IWL_ANG_XX,A,58.57,A,42.33,A,46.71
143,1002_DFA_ANG_XX,A,77.33,A,72.67,A,82.33
155,1002_TSI_ANG_XX,A,54,A,55.71,A,64
159,1002_WSI_HAP_XX,A,50.8,H,59.22,H,59.38
161,1002_WSI_ANG_XX,A,62,A,51.67,A,63.62
172,1003_IEO_ANG_MD,A,71.56,F,53.67,A,69.83
173,1003_IEO_ANG_HI,A,82.62,F,68.67,A,70
183,1003_TIE_ANG_XX,A,61.89,A:H,67.75:37.50,A,62.5
185,1003_TIE_DIS_XX,A,53.33,F,57.67,D,70.33
189,1003_IOM_ANG_XX,A,57.71,H,33.5,A,72.4
195,1003_IWW_ANG_XX,A,67.88,H,56.25,A,59.5
207,1003_MTI_ANG_XX,A,63.4,A,66.25,A,55.6
213,1003_IWL_ANG_XX,A,79.89,A,62.14,A,86.56
219,1003_ITH_ANG_XX,A,82,H,62.67,A,52.25
225,1003_DFA_ANG_XX,A,74.86,A,60.83,A,71.33
231,1003_ITS_ANG_XX,A,62.6,A,44.5,A,65.75
237,1003_TSI_ANG_XX,A,67.25,A,62,A,73.88
243,1003_WSI_ANG_XX,A,88.67,A,67.4,A,69
255,1004_IEO_ANG_HI,A,85.1,A,86.78,A,90.33
265,1004_TIE_ANG_XX,A,87.9,A,86.2,A,91.8
271,1004_IOM_ANG_XX,A,58.33,A,62.38,A,62.83
295,1004_IWL_ANG_XX,A,69.25,A,53.44,A,74.43
301,1004_ITH_ANG_XX,A,81.56,A,55.43,A,77.17
307,1004_DFA_ANG_XX,A,76.29,A,67.12,A,80.5
319,1004_TSI_ANG_XX,A,51.17,A,60.75,A,64.25
325,1004_WSI_ANG_XX,A,64.14,A,65.22,A,77.6
337,1005_IEO_ANG_HI,A,80.22,H,44,A,62.56
347,1005_TIE_ANG_XX,A,65.67,A,36.75,A,57.67
348,1005_TIE_FEA_XX,A,50.2,F,51.88,F,36.4
353,1005_IOM_ANG_XX,A,78.25,A:N,60.00:63.67,A,65.89
377,1005_IWL_ANG_XX,A,54.5,N,66,A,43
389,1005_DFA_ANG_XX,A,61.86,N,53.86,A:N,58.75:43.75
407,1005_WSI_ANG_XX,A,82.86,N,68.75,A,63.38
419,1006_IEO_ANG_HI,A,76.71,A,68.11,A,85.43
429,1006_TIE_ANG_XX,A,51.8,A,63,A,68.5
435,1006_IOM_ANG_XX,A,71.56,A,70,A,77.71
447,1006_TAI_ANG_XX,A,62.5,A,43.8,A,77.3
453,1006_MTI_ANG_XX,A,66.5,A,63.5,A,71.6
459,1006_IWL_ANG_XX,A,74.62,A,67.56,A,80.27
471,1006_DFA_ANG_XX,A,80.71,A,69.12,A,82.3
483,1006_TSI_ANG_XX,A,66.4,A,64.67,A,53.11
489,1006_WSI_ANG_XX,A,60.4,A:D,37.25:71.75,A,48.88
503,1007_IEO_FEA_MD,A,80.4,A,46.29,A,52.2
511,1007_TIE_ANG_XX,A,72.57,A,46.5,A,80.2
517,1007_IOM_ANG_XX,A,58.67,A,49.2,A,69.14
529,1007_TAI_ANG_XX,A,65.83,A:N,66.00:82.67,A,70
565,1007_TSI_ANG_XX,A,53.67,A,60.8,A,79.5
