1,1001_IEO_NEU_XX,N,69.1,N,92.22,N,64.78
101,1002_TIE_ANG_XX,A,76.5,H,74,A,79.22
107,1002_IOM_ANG_XX,A,77.12,A,66,A,69
143,1002_DFA_ANG_XX,A,77.33,A,72.67,A,82.33
173,1003_IEO_ANG_HI,A,82.62,F,68.67,A,70
213,1003_IWL_ANG_XX,A,79.89,A,62.14,A,86.56
219,1003_ITH_ANG_XX,A,82,H,62.67,A,52.25
243,1003_WSI_ANG_XX,A,88.67,A,67.4,A,69
255,1004_IEO_ANG_HI,A,85.1,A,86.78,A,90.33
265,1004_TIE_ANG_XX,A,87.9,A,86.2,A,91.8
301,1004_ITH_ANG_XX,A,81.56,A,55.43,A,77.17
307,1004_DFA_ANG_XX,A,76.29,A,67.12,A,80.5
337,1005_IEO_ANG_HI,A,80.22,H,44,A,62.56
353,1005_IOM_ANG_XX,A,78.25,A:N,60.00:63.67,A,65.89
407,1005_WSI_ANG_XX,A,82.86,N,68.75,A,63.38
419,1006_IEO_ANG_HI,A,76.71,A,68.11,A,85.43
471,1006_DFA_ANG_XX,A,80.71,A,69.12,A,82.3
503,1007_IEO_FEA_MD,A,80.4,A,46.29,A,52.2
583,1008_IEO_ANG_HI,A,88.7,A,90.78,A,80.44
593,1008_TIE_ANG_XX,A,80.78,A,85.22,A,81.38
611,1008_TAI_ANG_XX,A,78.2,A,79.11,A,82.12
647,1008_TSI_ANG_XX,A,83.67,A,71.43,A,67
653,1009_IEO_HAP_HI,A,79,H,81.4,H,83.1
659,1009_IEO_ANG_HI,A,84.33,A,84.5,A,70.11
665,1009_IEO_DIS_HI,A,78.38,D,74.4,D,64.17
693,1009_IWL_ANG_XX,A,80.83,H,55.5,A,52.5
717,1009_TSI_ANG_XX,A,82.56,A,81.7,A,83.56
723,1009_WSI_ANG_XX,A,80.67,A,75.7,A,85.4
724,1009_WSI_FEA_XX,A,79.5,F,74.56,F,74.25
735,1010_IEO_ANG_HI,A,86,A,81.75,A,88.9
763,1010_TAI_ANG_XX,A,78.5,A,55,A,72.14
775,1010_IWL_ANG_XX,A,76.12,A,69.12,A,64.8
817,1011_IEO_ANG_HI,A,76.6,A,77.6,A,82.64
899,1012_IEO_ANG_HI,A,85.25,A,69.11,A,77
981,1013_IEO_ANG_HI,A,85.5,A,84.17,A,83.3
991,1013_TIE_ANG_XX,A,90.67,A,81.78,A,71.7
997,1013_IOM_ANG_XX,A,77.78,A,71.55,A,78.4
1003,1013_IWW_ANG_XX,A,76.4,A,76,A,75.78
1009,1013_TAI_ANG_XX,A,87,A,72.11,A,91.67
1015,1013_MTI_ANG_XX,A,80.14,A,77.67,A,74.89
1021,1013_IWL_ANG_XX,A,80.27,A,82.9,A,82.5
1027,1013_ITH_ANG_XX,A,83.75,A,79.4,A,87
1033,1013_DFA_ANG_XX,A,81.1,A,76.09,A,90.6
1051,1013_WSI_ANG_XX,A,82.44,A,77.36,A,92.89
1063,1014_IEO_ANG_HI,A,86.25,A,70.5,A,81.45
1145,1015_IEO_ANG_HI,A,79.89,A,87.88,A,62.33
1227,1016_IEO_ANG_HI,A,82.57,A,62,A,84.89
1237,1016_TIE_ANG_XX,A,75.2,A,73.75,A,68.17
1273,1016_ITH_ANG_XX,A,79.11,S,72,A,77.86
1279,1016_DFA_ANG_XX,A,75.44,A,66.62,A,77.11
1297,1016_WSI_ANG_XX,A,76.89,A,60,A,72.2
1391,1018_IEO_ANG_HI,A,78.83,A,60.5,A,61.43
1473,1019_IEO_ANG_HI,A,79,A,54.5,A,81
1483,1019_TIE_ANG_XX,A,77,N,69.6,A,61.43
1713,1022_IEO_ANG_HI,A,83,A,89.67,A,87.33
1729,1022_IOM_ANG_XX,A,79.75,A,63.5,A,71.43
1755,1022_IWL_DIS_XX,A,76.8,D:F,79.67:63.00,A:D,54.67:79.33
1795,1023_IEO_ANG_HI,A,91.12,A,87.64,A,88.7
1865,1023_WSI_ANG_XX,A,83.57,A,56.43,A,52.33
1958,1025_IEO_ANG_MD,A,83.17,A,71.12,A,54.62
1959,1025_IEO_ANG_HI,A,92.88,A,83.22,A,84.67
1975,1025_IOM_ANG_XX,A,75.33,A,84.56,A,87.4
2093,1026_DFA_ANG_XX,A,76.67,A,71.83,A,66.78
2123,1027_IEO_ANG_HI,A,92.8,A,85.22,A,96
2133,1027_TIE_ANG_XX,A,79.7,A,71.12,A,74.44
2145,1027_IWW_ANG_XX,A,78.14,A,38.17,A:D,74.50:87.75
2157,1027_MTI_ANG_XX,A,79.44,A,65.5,A,67.3
2187,1027_TSI_ANG_XX,A,82.29,A,69.22,A,89.3
2205,1028_IEO_ANG_HI,A,83.75,A,87,A,89.33
