1,1001_IEO_NEU_XX,N,69.1,N,92.22,N,64.78
249,1004_IEO_HAP_HI,F,77.25,H,84.78,H,91.8
577,1008_IEO_HAP_HI,F,83.75,H,78.78,H,93.2
648,1008_TSI_FEA_XX,F,86.44,F,79.22,F,84.89
662,1009_IEO_FEA_HI,F,77.11,F,66,F,72.14
718,1009_TSI_FEA_XX,F,76.86,F,68.89,F,78.33
794,1010_ITS_FEA_XX,F,77.38,A,65.88,F,65.56
958,1012_ITS_FEA_XX,F,77.14,F,68.44,F,81.4
1806,1023_TIE_FEA_XX,F,76.38,F,44.67,F,51.5
1962,1025_IEO_FEA_HI,F,82.5,F,67.25,F,70.7
2044,1026_IEO_FEA_HI,F,87.57,F:H:N,73.00:66.00:58.67,F,72.67
2231,1028_TAI_HAP_XX,F,78.5,H,70.38,H,63
2270,1028_TSI_FEA_XX,F,76.4,S,75.83,F,71.83
2334,1029_ITH_FEA_XX,F,79.57,F,71,F,70.89
2346,1029_ITS_FEA_XX,F,76.25,F,56.33,F,73.1
2352,1029_TSI_FEA_XX,F,78,F,73.5,F,70.7
2358,1029_WSI_FEA_XX,F,77.5,F,70.33,F,80.43
2454,1031_IEO_FEA_HI,F,76.6,A,68.12,A,67.2
2862,1036_IEO_FEA_LO,F,76.25,F,57.14,S,58.43
2926,1036_TSI_FEA_XX,F,88.62,F,60.33,F,77.25
2932,1036_WSI_FEA_XX,F,81.67,F,85.43,F,69.18
2937,1037_IEO_HAP_HI,F,84.2,H,71.75,H,79.2
2946,1037_IEO_FEA_HI,F,76.71,F,70.25,F,79.7
3110,1039_IEO_FEA_HI,F,76.2,F,69.75,F,81.78
3192,1040_IEO_FEA_HI,F,76.89,F,67.25,F,74.11
3766,1047_IEO_FEA_HI,F,80.83,F,75,F,81
3848,1048_IEO_FEA_HI,F,80.8,F,67.86,F,70.75
3986,1049_ITS_FEA_XX,F,78.25,F,49.2,S,48.17
3989,1049_TSI_HAP_XX,F,82.5,H,88,H,85
4114,1051_IWW_FEA_XX,F,80,A,51,F,65
4176,1052_IEO_FEA_HI,F,81.9,F,67.11,F,71.11
4199,1052_TAI_HAP_XX,F,79.86,H,90.11,H,89.9
4284,1053_TAI_FEA_XX,F,77,F,67.62,F,82.4
4299,1053_ITH_HAP_XX,F,81.5,H,84.3,H,65.78
4320,1053_TSI_FEA_XX,F,82.5,F,53.14,F,71.22
4413,1055_IEO_HAP_HI,F,84.38,H,84.12,H,83.71
4478,1055_ITS_FEA_XX,F,75.14,F,73.86,F,76.25
4484,1055_TSI_FEA_XX,F,75.83,A:F,60.00:92.75,F,83.62
4577,1057_IEO_HAP_HI,F,79.67,H,87.1,H,82
4667,1058_IEO_FEA_MD,F,75.5,F:S,51.25:70.00,S,73.71
4914,1061_IEO_FEA_HI,F,77.75,F,87.56,F,89.88
5068,1063_IEO_HAP_MD,F,76,H,76,H,78
5137,1063_TSI_HAP_XX,F,79.25,H,75.5,H,51.86
5160,1064_IEO_FEA_HI,F,87.86,F,86.25,F,85.7
5872,1072_ITS_FEA_XX,F,79.71,F,66.5,F,76.3
5878,1072_TSI_FEA_XX,F,75.83,F,68.14,F,81.56
6322,1078_IOM_DIS_XX,F,78,D,72,D,77
6327,1078_IWW_FEA_XX,F,78.83,F,44.8,F,43.29
6369,1078_TSI_FEA_XX,F,79,F,73.5,F,75.88
6451,1079_TSI_FEA_XX,F,77.2,F,71.14,F,75.57
6471,1080_IEO_FEA_HI,F,78.67,F,45.4,F,62.62
