1,1001_IEO_NEU_XX,N,69.1,N,92.22,N,64.78
193,1003_IWW_HAP_XX,H,79.89,H,78.45,H,63.3
457,1006_IWL_HAP_XX,H,79.6,H,61.44,H,57
811,1011_IEO_HAP_HI,H,78.43,H,75.22,H,74.44
995,1013_IOM_HAP_XX,H,78.4,H,79.75,H,82
1195,1015_DFA_HAP_XX,H,75.5,H,58.22,H,79.4
2363,1030_IEO_HAP_HI,H,75.67,H,80.11,H,87.7
2791,1035_TIE_DIS_XX,H,75,D,73,D,67.22
3019,1038_IEO_HAP_HI,H,88,H,88.67,H,78.89
3920,1049_IEO_HAP_MD,H,78.62,H,84.86,H,90.88
3983,1049_ITS_HAP_XX,H,81.56,H,82.11,H,86.3
4533,1056_MTI_HAP_XX,H,75,H,74.56,H,81.56
4741,1059_IEO_HAP_HI,H,83.33,H,86.89,H,79.56
5119,1063_ITH_HAP_XX,H,77.12,H,69,H,55.82
5165,1064_TIE_HAP_XX,H,80.62,H,79.5,H,84.12
5219,1064_TSI_HAP_XX,H,88.5,H,89.4,H,73.33
5232,1065_IEO_HAP_MD,H,80.5,H,76.1,H,67.78
5970,1074_IEO_HAP_MD,H,77.5,H,91.78,H,90.88
5971,1074_IEO_HAP_HI,H,78,H,83.3,H,89.6
5976,1074_IEO_ANG_MD,H,88.25,A,59.43,A,49.88
6389,1079_IEO_FEA_HI,H,88.75,F,66.2,F,92.25
6418,1079_MTI_HAP_XX,H,78.44,H,86,H,69.9
6436,1079_DFA_HAP_XX,H,76.43,H,78.67,H,73.89
6462,1080_IEO_HAP_HI,H,78.17,H,81,H,71.8
6544,1081_IEO_HAP_HI,H,78.5,H,83.7,H,91
6612,1081_TSI_HAP_XX,H,76.67,H,77.2,H,89.62
6934,1085_ITS_HAP_XX,H,77,H,73,H,72
6954,1086_IEO_HAP_HI,H,77.33,H,85.33,H,82.1
7420,1091_DFA_HAP_XX,H,75.14,H,74.78,H,61.88
