1,1001_IEO_NEU_XX,N,69.1,N,92.22,N,64.78
2,1001_IEO_HAP_LO,N,71.67,H,57,H,57.38
3,1001_IEO_HAP_MD,N,67.71,H,62.62,H,56.56
4,1001_IEO_HAP_HI,H,63.5,H,68.25,H,73.2
18,1001_TIE_HAP_XX,N,64.33,H,80.25,H,63.75
24,1001_IOM_HAP_XX,N,52.83,H,66.56,H,63.25
30,1001_IWW_HAP_XX,N,61.33,H,82.09,H,46.43
36,1001_TAI_HAP_XX,N,56.57,H,51.11,H,48.86
42,1001_MTI_HAP_XX,H:N,48.25:77.25,H,51.75,H,80.67
48,1001_IWL_HAP_XX,N,51.4,H,82.09,H,63.43
54,1001_ITH_HAP_XX,F:N,35.67:74.67,H,64.33,H,55.8
60,1001_DFA_HAP_XX,N,75.25,H,66.57,H,57.9
66,1001_ITS_HAP_XX,H,50.83,H,54.75,H,67.4
72,1001_TSI_HAP_XX,F,60.4,H,85.67,H,74.27
78,1001_WSI_HAP_XX,A,47.75,H,72.8,H,78.78
84,1002_IEO_HAP_LO,F,66.8,H,65.11,H,76.3
85,1002_IEO_HAP_MD,N,68.33,H,57,H,50.67
86,1002_IEO_HAP_HI,F:H,54.75:61.00,H,79.25,H,77.5
99,1002_TIE_HAP_XX,A,65.38,H,73,H,77.67
101,1002_TIE_ANG_XX,A,76.5,H,74,A,79.22
105,1002_IOM_HAP_XX,N,68,H,61.3,H,73
111,1002_IWW_HAP_XX,H,53.43,H,63.7,H,65.7
117,1002_TAI_HAP_XX,H,63.5,H,57.22,H,60.43
123,1002_MTI_HAP_XX,F:H:N,56.67:50.33:41.67,H,61.6,H,58.88
129,1002_IWL_HAP_XX,N,55.83,H,68.67,H,76.12
135,1002_ITH_HAP_XX,F,59,H,68.75,H,61.62
141,1002_DFA_HAP_XX,H,45.57,H,65.8,H,56.75
147,1002_ITS_HAP_XX,H,49.86,H,64.67,H,71.38
153,1002_TSI_HAP_XX,F,49,H,72.14,H,60.5
159,1002_WSI_HAP_XX,A,50.8,H,59.22,H,59.38
165,1003_IEO_HAP_LO,N,77.75,H,66.8,H,77.12
166,1003_IEO_HAP_MD,N,75.5,H,73.2,H,87.44
167,1003_IEO_HAP_HI,H,66,H,79.2,H,65.27
181,1003_TIE_HAP_XX,H,46,H,75.6,H,78.22
