1,1001_IEO_NEU_XX,N,69.1,N,92.22,N,64.78
56,1001_ITH_ANG_XX,A:D:N,39.00:89.00:83.67,A,80,D,29.8
254,1004_IEO_ANG_MD,A:D,69.2:77.8,A,83.12,A,79.78
255,1004_IEO_ANG_HI,A,85.1,A,86.78,A,90.33
265,1004_TIE_ANG_XX,A,87.9,A,86.2,A,91.8
501,1007_IEO_ANG_HI,A:D,64.6:65.8,A,84.22,A,74.88
583,1008_IEO_ANG_HI,A,88.7,A,90.78,A,80.44
593,1008_TIE_ANG_XX,A,80.78,A,85.22,A,81.38
611,1008_TAI_ANG_XX,A,78.2,A,79.11,A,82.12
623,1008_IWL_ANG_XX,A,50.43,A,75,A,73.8
659,1009_IEO_ANG_HI,A,84.33,A,84.5,A,70.11
669,1009_TIE_ANG_XX,A,44.5,A,85.4,A,64
681,1009_IWW_ANG_XX,A,69.5,A,76.56,A,66.5
717,1009_TSI_ANG_XX,A,82.56,A,81.7,A,83.56
723,1009_WSI_ANG_XX,A,80.67,A,75.7,A,85.4
735,1010_IEO_ANG_HI,A,86,A,81.75,A,88.9
738,1010_IEO_FEA_HI,F,71.88,A,78.67,F,52.5
769,1010_MTI_ANG_XX,A:N,47.33:63.00,A,78.86,A,61.33
817,1011_IEO_ANG_HI,A,76.6,A,77.6,A,82.64
981,1013_IEO_ANG_HI,A,85.5,A,84.17,A,83.3
991,1013_TIE_ANG_XX,A,90.67,A,81.78,A,71.7
1003,1013_IWW_ANG_XX,A,76.4,A,76,A,75.78
1015,1013_MTI_ANG_XX,A,80.14,A,77.67,A,74.89
1021,1013_IWL_ANG_XX,A,80.27,A,82.9,A,82.5
1027,1013_ITH_ANG_XX,A,83.75,A,79.4,A,87
1033,1013_DFA_ANG_XX,A,81.1,A,76.09,A,90.6
1051,1013_WSI_ANG_XX,A,82.44,A,77.36,A,92.89
1073,1014_TIE_ANG_XX,A,69.29,A,78.67,A,74.64
1145,1015_IEO_ANG_HI,A,79.89,A,87.88,A,62.33
1148,1015_IEO_FEA_HI,F,70,A,77,F,66
1267,1016_IWL_ANG_XX,A,65.56,A,84,A,80.67
1309,1017_IEO_ANG_HI,D,80.43,A,75.67,A,59.17
1401,1018_TIE_ANG_XX,A,63.8,A,75.57,A,68.8
1549,1020_IEO_ANG_HI,A,59.25,A,78.64,A,90.6
1601,1020_DFA_ANG_XX,A,54.5,A,79.6,A,66.12
1713,1022_IEO_ANG_HI,A,83,A,89.67,A,87.33
1747,1022_MTI_ANG_XX,A,73.2,A,77.29,A,52.8
1753,1022_IWL_ANG_XX,A,66.25,A,84.4,A,81.78
1759,1022_ITH_ANG_XX,N,64.17,A,75.83,A,53.6
1795,1023_IEO_ANG_HI,A,91.12,A,87.64,A,88.7
1805,1023_TIE_ANG_XX,A,70.75,A,76.56,A,72.3
1959,1025_IEO_ANG_HI,A,92.88,A,83.22,A,84.67
1975,1025_IOM_ANG_XX,A,75.33,A,84.56,A,87.4
1981,1025_IWW_ANG_XX,A,71.71,A,83.67,A,77.3
1987,1025_TAI_ANG_XX,A,40.83,A,80.22,A,55
2005,1025_ITH_ANG_XX,F:N,52.67:67.00,A,84.78,A,79.33
2123,1027_IEO_ANG_HI,A,92.8,A,85.22,A,96
2151,1027_TAI_ANG_XX,N,46,A,79.22,A,76.9
2169,1027_ITH_ANG_XX,A,67.4,A,80.71,A,71
2181,1027_ITS_ANG_XX,A,36.83,A,76.8,A,67.89
2182,1027_ITS_FEA_XX,F:N,31.8:63.0,A,76.2,F,68
2205,1028_IEO_ANG_HI,A,83.75,A,87,A,89.33
2215,1028_TIE_ANG_XX,A,82.22,A,85.88,A,84.67
2233,1028_TAI_ANG_XX,A:D,89.8:89.0,A,80.8,A,84.75
2245,1028_IWL_ANG_XX,D,74.2,A,82.1,A,65.12
