1,1001_IEO_NEU_XX,N,69.1,N,92.22,N,64.78
18,1001_TIE_HAP_XX,N,64.33,H,80.25,H,63.75
30,1001_IWW_HAP_XX,N,61.33,H,82.09,H,46.43
48,1001_IWL_HAP_XX,N,51.4,H,82.09,H,63.43
72,1001_TSI_HAP_XX,F,60.4,H,85.67,H,74.27
86,1002_IEO_HAP_HI,F:H,54.75:61.00,H,79.25,H,77.5
167,1003_IEO_HAP_HI,H,66,H,79.2,H,65.27
181,1003_TIE_HAP_XX,H,46,H,75.6,H,78.22
187,1003_IOM_HAP_XX,H,59.8,H,79.8,H,72.22
193,1003_IWW_HAP_XX,H,79.89,H,78.45,H,63.3
199,1003_TAI_HAP_XX,F,54,H,90.1,H,66.89
205,1003_MTI_HAP_XX,N,65.17,H,77.09,H,75.5
211,1003_IWL_HAP_XX,N,53.5,H,78.6,H,87.2
217,1003_ITH_HAP_XX,N,73.75,H,77.8,H,62.56
223,1003_DFA_HAP_XX,H:S,48.00:40.67,H,79,H,86.78
229,1003_ITS_HAP_XX,H,63.5,H,84.7,H,77.33
241,1003_WSI_HAP_XX,S,70.6,H,87.88,H,78
248,1004_IEO_HAP_MD,D,61,H,78.9,H,71.11
249,1004_IEO_HAP_HI,F,77.25,H,84.78,H,91.8
269,1004_IOM_HAP_XX,H,62.33,H,75.6,H,81.38
275,1004_IWW_HAP_XX,H:N,53.25:75.25,H,77.2,H,66.25
281,1004_TAI_HAP_XX,N,72.5,H,78.27,H,74.33
287,1004_MTI_HAP_XX,N,72.33,H,81.8,H,70.25
293,1004_IWL_HAP_XX,N,72.5,H,76.4,H,74.3
299,1004_ITH_HAP_XX,F,60.4,H,84.2,H,86.67
305,1004_DFA_HAP_XX,H,70.5,H,90.36,H,75.7
323,1004_WSI_HAP_XX,D,40.67,H,76.33,H,75.3
387,1005_DFA_HAP_XX,N,78.5,H,85.11,H,68
399,1005_TSI_HAP_XX,H,63.4,H,75.22,H,81
405,1005_WSI_HAP_XX,A,28.67,H,83.7,H,60.25
413,1006_IEO_HAP_HI,H,59.5,H,81.89,H,82.62
433,1006_IOM_HAP_XX,H,44.33,H,77.33,H,80.29
493,1007_IEO_HAP_LO,H,62.6,H,76.6,H,68.44
495,1007_IEO_HAP_HI,H,71.12,H,76.67,H,87.33
515,1007_IOM_HAP_XX,N,68.83,H,80.8,H,72.9
539,1007_IWL_HAP_XX,H:N,57.8:72.4,H,79.91,H,78.5
551,1007_DFA_HAP_XX,H,61.83,H,77.2,H,63.3
557,1007_ITS_HAP_XX,N,78.75,H,83.56,H,66
576,1008_IEO_HAP_MD,H,53.4,H,86.1,H,82
577,1008_IEO_HAP_HI,F,83.75,H,78.78,H,93.2
591,1008_TIE_HAP_XX,H,58.2,H,88.75,H,67
597,1008_IOM_HAP_XX,N,81.7,H,80.1,H,74.57
603,1008_IWW_HAP_XX,H,47.83,H,75.8,H,82
615,1008_MTI_HAP_XX,H,63.67,H,77.5,H,64.75
621,1008_IWL_HAP_XX,H,69.33,H,82.6,H,76.7
627,1008_ITH_HAP_XX,N,50.75,H,76.88,H,71.71
639,1008_ITS_HAP_XX,H,54.78,H,85.7,H,80
645,1008_TSI_HAP_XX,F,60.2,H,87.29,H,68.75
652,1009_IEO_HAP_MD,H,71.12,H,76.55,H,78.56
653,1009_IEO_HAP_HI,A,79,H,81.4,H,83.1
667,1009_TIE_HAP_XX,D,60.5,H,82.8,H,78.9
673,1009_IOM_HAP_XX,H,71.83,H,85.5,H,93.43
679,1009_IWW_HAP_XX,H:N,25.5:54.5,H,83.6,H,76.22
685,1009_TAI_HAP_XX,F,71.67,H,80.2,H,78.88
691,1009_IWL_HAP_XX,H,72.62,H,77.73,H,64.55
697,1009_ITH_HAP_XX,H,61.86,H,79,H,78.7
709,1009_ITS_HAP_XX,H,61.38,H,79.8,H,88.91
715,1009_TSI_HAP_XX,N,71,H,84.6,H,61.18
721,1009_WSI_HAP_XX,H,56.22,H,87.12,H,80.11
755,1010_IWW_HAP_XX,H,51.75,H,75.78,H,73.33
791,1010_ITS_HAP_XX,H,58.44,H,76.88,H,63.1
797,1010_TSI_HAP_XX,F,57.67,H,76.82,H,75.25
803,1010_WSI_HAP_XX,H,68.25,H,83.4,H,64.8
811,1011_IEO_HAP_HI,H,78.43,H,75.22,H,74.44
879,1011_TSI_HAP_XX,N,53,H,77.5,H,68.75
892,1012_IEO_HAP_MD,N,67.75,H,78.9,H,74.5
893,1012_IEO_HAP_HI,H,58,H,75,H,77.89
907,1012_TIE_HAP_XX,N,73.8,H,84.22,H,75.7
913,1012_IOM_HAP_XX,A:N,27.50:60.75,H,82,H,69.88
919,1012_IWW_HAP_XX,F,61.5,H,80.3,H,67.2
925,1012_TAI_HAP_XX,N,61.33,H,77.1,H,75
931,1012_MTI_HAP_XX,N,57.6,H,76.56,H,79.75
955,1012_ITS_HAP_XX,N,52,H,88.25,H,75
961,1012_TSI_HAP_XX,F,25,H,79.5,H,78.6
974,1013_IEO_HAP_MD,D:H:N,33.67:55.33:79.67,H,84.89,H,65.44
989,1013_TIE_HAP_XX,N,70.6,H,81.11,H,71.5
995,1013_IOM_HAP_XX,H,78.4,H,79.75,H,82
1001,1013_IWW_HAP_XX,N,65,H,90.38,H,73
1007,1013_TAI_HAP_XX,H,66,H,79.5,H,78.3
1013,1013_MTI_HAP_XX,A,44.33,H,88.43,H,74.7
1019,1013_IWL_HAP_XX,H,45.75,H,88.33,H,78.5
1025,1013_ITH_HAP_XX,A:H,47.33:54.33,H,82.91,H,79.2
1031,1013_DFA_HAP_XX,H,70.38,H,78.3,H,74.9
1037,1013_ITS_HAP_XX,H,52.6,H,79.55,H,82.8
1056,1014_IEO_HAP_MD,N,65.43,H,82.12,H,74.4
1071,1014_TIE_HAP_XX,A,59,H,75.5,H,61.4
1083,1014_IWW_HAP_XX,D:N,44.67:68.00,H,75.22,H,72.17
1095,1014_MTI_HAP_XX,N,95,H,77.7,H,69.29
1113,1014_DFA_HAP_XX,H:N,64.00:73.25,H,75.56,H,53.5
1125,1014_TSI_HAP_XX,F,45.33,H,75.67,H,68.86
